[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1): action: 26, observation: (1, 0.012016783270830823, 0.0, 0.13688068058467895, 0.39978143135417876, 1.298611360039865, 0.700236861223011, 3.5238702456244084, 3.499991508459485, 23.588065807804874, 11.468527920189473, 4.487030949441372), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 214, observation: (1, 0.06402554653329913, -0.11923321672916919, 0.9671505457453474, 0.21782424412075385, 2.1878286651807026, 8.735455520358007, 25.35777944491041, 14.82389619782699, 9.991584828582633, 11.834061092588836, 21.92582068747585), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 92, observation: (1, 2.499256284838742, -0.3177076701958701, 0.11959124643390351, 0.7401475641655698, 5.1347899338441225, 1.9863632876145476, 10.255956358488005, 3.1362382851103767, 1.2027814926833327, 25.672572107821154, 8.779590761073543), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 48, observation: (1, 2.005794031981773, 0.5, 0.6395735564888261, 0.7450775066595628, 7.07487803991609, 0.023199767701161327, 11.422932112614028, 9.884666129801523, 40.128181230386666, 0.12861143842761097, 7.32922767606474), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 245, observation: (1, 0.10219741315229525, 0.5, 0.8613733425898477, 0.2144268997898241, 12.131544248096422, 0.42640030590789146, 22.987091556753022, 12.168722829645112, 0.9205027386106568, 1.3485905582892483, 3.62678339983147), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 187, observation: (1, 2.660857633297052, 0.5, 0.6575887836828319, 0.6053953879598869, 13.397732426623243, 14.498529524268369, 10.721071573299172, 18.723159112393848, 21.283642014577747, 2.566816621488969, 11.650404086931296), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 9, observation: (1, 3.5252955410998132, 0.5, 0.4994762349401425, 0.5670349419078373, 2.476147898589316, 5.170206767700912, 0.5002158966105315, 0.5561847910042906, 4.054374385322835, 9.32843080629905, 16.95393251397207), rho: 0.4, reward: 0.028643403202295303 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 60, observation: (1, 0.14454903678386186, 0.5, 0.03491662488090397, 0.4361565330219539, 1.7448687139700134, 2.028008777665496, 4.528489510066282, 1.9584201740065155, 13.119642623541836, 17.290834632241786, 0.847915453364235), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 187, observation: (1, 0.19941883132401128, 0.11954903678386186, 0.7512455261484153, 0.1609373119437264, 5.056499605933885, 6.790694081054687, 20.33956974293091, 11.47540395410176, 2.0750384753672133, 1.275930344968277, 15.116137709772978), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 148, observation: (1, 0.8551036886968548, -0.1310321318921268, 0.6491561340121824, 0.588808720733383, 5.751716209845901, 2.516796169458704, 1.1853610197232451, 4.497773458840337, 0.17448376134319682, 8.95070984364686, 3.802738850111704), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 190, observation: (0, 0.0863786506519934, 0.349071556804728, 0.07126407037701232, 0.8152647149352007, 18.479941522193947, 22.12102276327102, 6.878697262578576, 2.0496715311216205, 9.377104011102398, 2.1041332415405076, 8.058277559343349), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 157, observation: (0, 1.3706971034806756, 0.28545020745672145, 0.7851852190499133, 0.3633456580182123, 3.56603481740073, 4.203748860161618, 4.822958064897377, 4.407949909294395, 1.255969422609418, 4.698287953351819, 8.942873896634328), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 9, observation: (0, 10.62473306755508, 0.5, 0.7442224128042741, 0.015053438163124988, 9.270743398229005, 0.24915591316431873, 19.233286401774727, 9.664363627777476, 3.928697551497169, 39.31327902742979, 9.338271854440436), rho: 0.4, reward: 4.910064220428467 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 211, observation: (0, 1.954941391441599, 0.5, 0.5282514615739122, 0.178233109728418, 10.684173763744997, 8.457216649252624, 10.398260196352496, 82.71969542848416, 9.03836924208735, 9.461155746900673, 13.37161817130142), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 51, observation: (0, 0.10045104161029746, 0.5, 0.2410303269797519, 0.9391963863974802, 4.422595879993821, 11.048102687210237, 6.9098681518932095, 21.87484931379611, 9.39833043868149, 10.058400087408314, 2.2729145592488194), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 53, observation: (0, 0.8130126739887771, 0.2067010416102975, 0.5469210780261354, 0.6446284108408934, 27.893594418217226, 3.8009395947911635, 25.980161132635505, 11.700842141046309, 11.69168958131404, 4.041945738759026, 8.670236229486092), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 156, observation: (0, 0.02291721085084473, 0.5, 0.3129559449690351, 0.9302702780811182, 16.525689723257944, 8.217561823252021, 1.418247619344738, 2.005703451817317, 14.269798744221822, 16.702249167204293, 0.05063970458130437), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 101, observation: (0, 0.5591402545421129, -0.07708278914915523, 0.7631491817771905, 0.5823031895428219, 28.29487327350715, 13.800287513604196, 8.003185405293898, 4.33290927411616, 30.798077502000186, 1.547745510495854, 4.010159187420946), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 8, observation: (0, 1.2326068040525255, -0.09919253460704225, 0.5670876828515605, 0.2010687078553577, 0.7439254011548574, 5.704945349741082, 5.856819193383183, 4.665779483242273, 19.417904087190696, 5.792483590346179, 8.962313498411367), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 231, observation: (0, 1.2500966317423559, 0.5, 0.42412610307685583, 0.9923647881663672, 1.5370301488735996, 20.3431940119131, 5.192759938797964, 14.233460826040336, 0.5807540169705006, 7.8212696759874785, 0.29583972474326103), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1/1400): reward: -13.061292376369238, rho: 0.4000000000000001, rates: 0.2469353811815381
[TRAIN]: SAVE MODEL: best_reward: -0.6530646188184619
[TRAIN]: (2): action: 30, observation: (1, 5.092915462326618, 0.0, 0.8595565809297969, 0.8216775349381416, 0.8775581622482695, 15.799408707831336, 4.913370178888189, 0.33165815162320006, 21.449758300750467, 17.231545055939453, 16.66053874726576), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 210, observation: (1, 0.07071829238301071, 0.5, 0.8981891945529721, 0.10197731532005094, 6.227712948419728, 8.520477814675626, 0.04208963796446769, 2.1344034563181675, 7.77227047027214, 14.592898421565364, 1.7899025683800354), rho: 0.4, reward: 1.6387578248977661 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 248, observation: (1, 3.575927149163489, 0.13946829238301078, 0.6794324003494293, 0.813291124868657, 18.413997880596185, 3.734840400714501, 2.858494136318219, 4.8479788491789, 2.8391665208595773, 5.321146697940407, 11.662643506790719), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 237, observation: (1, 0.03990247459067336, 0.5, 0.39292611397594845, 0.25478964977054686, 15.340443060578444, 5.598903820933058, 16.958890739432604, 0.2602343652648454, 2.4811798278704904, 10.13247886999702, 0.43270824902957783), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 106, observation: (1, 0.3195766663981329, 0.2586524745906733, 0.7853949214909476, 0.6092877645842181, 7.8515528424702055, 1.049812081442853, 13.129082545323474, 11.110999618723223, 9.024701511040526, 4.654842858908891, 0.9155187343278516), rho: 0.4, reward: 0.0377819798886776 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 37, observation: (1, 3.175597257572905, 0.5, 0.9708111094601374, 0.9601222611886225, 11.060910867804623, 0.5491904006200545, 8.085403666120047, 20.88307400484443, 0.791825189603277, 13.10038008914918, 8.742937356058247), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 2, observation: (1, 0.45901370405934677, 0.5, 0.1568299441567449, 0.8123443103002235, 9.729849729545428, 1.0364790315995034, 14.49647074157932, 5.148373167787358, 6.303958616158214, 32.79749626521372, 1.5370285833165545), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 145, observation: (1, 1.431976117939579, 0.5, 0.15935269637029992, 0.6216782173182225, 11.501570131319443, 3.208199514155811, 5.406059536033232, 1.4375662231730044, 7.315318027929472, 0.07938836980370083, 5.878243599020891), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 12, observation: (1, 6.675510389072693, 0.5, 0.20480054049116458, 0.980362749277036, 5.554933052148334, 3.6107718716714827, 13.123102698678249, 1.87890741727765, 15.391348014188676, 0.27844684380410445, 18.75675916860641), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 190, observation: (1, 7.60033639218846, 0.5, 0.7212122369212924, 0.6632827221568989, 5.052527182187441, 0.5781172687420398, 2.9119395030267023, 17.131034239289725, 2.1766687477687685, 13.045230480996109, 31.47422217078357), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 156, observation: (0, 1.2652749716591059, 0.5, 0.5077039268503056, 0.3846388031613396, 2.1769079327784744, 15.227653793984057, 1.2215429223154928, 1.3178110198873616, 20.48206190350286, 5.948922169404714, 21.379379236071287), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 39, observation: (0, 0.05231545875862625, 0.5, 0.3836098156850708, 0.22625317999759242, 3.799099977671489, 7.29597284575409, 9.758211430524543, 15.821928513899849, 31.910362363469922, 6.3371276256052855, 4.5555598313571295), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 112, observation: (0, 0.14710996748126975, 0.10231545875862624, 0.10990693262577955, 0.8715018564651346, 13.94430907781538, 18.07038299745933, 15.772389694432341, 37.2101562253389, 14.906859452543607, 15.147066021904864, 0.505740597513058), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 251, observation: (0, 1.2019517368006014, -0.256824573760104, 0.7089642752215636, 0.11360189642010077, 8.520604827156387, 29.847604871886254, 4.875529228567356, 0.38165292740503165, 4.063753392104209, 4.552980434118213, 4.0617903514059375), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 98, observation: (0, 0.08703769652250311, 0.5, 0.20604640167816546, 0.7661819568198104, 19.14831376190335, 14.980919235183174, 4.38815768142443, 15.73812053000134, 8.833983294191919, 6.6748868652535815, 0.3205577616210953), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 59, observation: (0, 3.562382181783657, 0.45578769652250317, 0.7539748758283121, 0.7152588436672668, 7.206497297991083, 10.399537915796484, 8.66091282974177, 11.965739106403404, 0.3502320803087159, 13.054137707035938, 17.614463709952123), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 191, observation: (0, 0.8668512434870764, 0.5, 0.7483109956086346, 0.049553624993715295, 3.728713529528984, 7.481187442400648, 0.7250139175939724, 3.9012942470118697, 1.563266673186281, 2.529723091800515, 10.574763352516861), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 200, observation: (0, 0.9728547750491675, 0.5, 0.8742997120188419, 0.17990560647706044, 10.597334153368333, 7.972459587326028, 5.088018169713482, 25.833060083825295, 16.512226491015973, 2.955858156172803, 3.659573537331985), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 237, observation: (0, 2.843676169769475, 0.5, 0.5581252344852395, 0.17533827557066783, 35.2093408598856, 12.319366618628411, 15.326569632394467, 11.465615348467505, 4.914724994475885, 13.975612596745314, 17.51071211785564), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 71, observation: (0, 0.12988299618942753, 0.5, 0.10169742869397436, 0.5844705513020013, 9.528134751731386, 1.786626741895632, 24.624964422559934, 2.2470422446546334, 1.3302531892237153, 14.936275087874751, 10.386687482630688), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2/1400): reward: -16.323460195213556, rho: 0.4000000000000001, rates: 0.08382699023932219
[TRAIN]: (3): action: 176, observation: (1, 0.1274899470242773, 0.0, 0.5771838115467488, 0.04629775369537592, 10.387946725920877, 4.230097087157576, 32.685917841013676, 13.685260235160152, 15.008916569069521, 10.665375547534774, 6.726131465512025), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 202, observation: (1, 0.7372155766561834, -0.060010052975722705, 0.04862571486600642, 0.8161735630159529, 2.9667168347680666, 4.074527543928533, 5.968125774243366, 1.0313374921584115, 10.61257990959878, 2.545152388742971, 2.497087008378153), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 3.030616696037893, 0.4334555236804607, 0.7781301576607964, 0.7896170887193683, 5.800205578622556, 12.4648775056658, 3.42645595499808, 5.852180671736273, 0.14457643846019108, 12.177262168576382, 10.072916749606621), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 130, observation: (1, 0.060760150973220274, 0.5, 0.2591477658163517, 0.10883893459535487, 19.795766174177068, 13.035817632141402, 26.233979854137672, 19.0291300969834, 7.922377366810762, 10.049692850271736, 3.880305448159158), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 0.02824387821214709, 0.2795101509732203, 0.0026931336635005465, 0.38395915083899235, 4.686294907344829, 9.820737037192755, 2.595410713616712, 2.0870141615504543, 9.043301081060891, 12.822866173839918, 3.992713628338193), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 5.33952995340432, 0.1390040291853674, 0.30116466089600247, 0.9105967544092198, 1.1002360548126773, 9.215342972298405, 4.473152872909214, 42.04134817817997, 4.046602688458506, 0.8347872266922223, 16.15353317453338), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 41, observation: (1, 0.17267536344011536, 0.5, 0.15289401321126472, 0.015541873292088004, 11.969854679908101, 15.383330317674401, 5.0345837982613215, 7.807375529174646, 3.646649026859235, 24.963916315413694, 11.114560783282602), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 171, observation: (1, 2.474419205768844, 0.31642536344011535, 0.1132136593420997, 0.7211762437846289, 2.5173908253098523, 40.20562216013989, 9.06470078083297, 6.085257454524667, 21.103393760434027, 24.63882324998486, 9.285632426531915), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 200, observation: (1, 0.16937809608892104, 0.5, 0.8988260750726855, 0.039816422707320775, 2.6029502706260264, 2.4234206815718133, 28.439121401182604, 8.919946157090187, 2.0340740737289558, 28.00044926118751, 15.019748909990279), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 108, observation: (1, 0.02601651249981132, 0.06937809608892109, 0.444850541096666, 0.2341072837488809, 0.8093318051443288, 3.470376872690166, 1.025260872059283, 3.813574131537007, 11.65067252014033, 12.063905518626818, 14.370497812730015), rho: 0.4, reward: 0.023742634803056717 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 53, observation: (0, 6.0033694585516955, 0.03914460858873242, 0.9095772931390155, 0.770692927411732, 8.020841328422398, 10.289585858899384, 21.92271689950072, 5.903587853419085, 6.60209242325725, 18.267460873662, 0.5371792038289074), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 12, observation: (0, 1.4365983079990032, 0.5, 0.62305874821443, 0.2229984749862275, 7.230732965738884, 7.161471433623925, 14.97763273589878, 5.903772122695235, 1.4652457509637284, 6.3283346574469945, 9.561683875732589), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 240, observation: (0, 0.3668362350651997, 0.5, 0.7257697810300218, 0.2511385792757491, 8.911325742131812, 7.34349981635509, 22.696648686056694, 1.9637978881492542, 0.5441349685734375, 0.8980671298464078, 10.575400353098168), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 22, observation: (0, 0.6100899368089272, 0.4730862350651997, 0.42240096578112885, 0.7208207051220819, 26.67372960616095, 10.165876890969741, 15.78849590693724, 1.2795910161693727, 5.848758738107711, 3.3496663705568457, 3.7275649904792294), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 254, observation: (0, 2.223624096481551, 0.5, 0.6862523013716699, 0.9202168515126742, 3.94602314254805, 12.515255069721118, 0.23768051690464814, 28.351085650344423, 1.9461246135609722, 8.77566510983278, 0.5261462771992208), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 148, observation: (0, 0.036117185588253366, 0.5, 0.2154194765970514, 0.02379676422176613, 17.64476605422583, 6.228858644097012, 0.9249304008697932, 16.80909285409363, 16.626864443338036, 10.059083137920195, 3.37162371999137), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 183, observation: (0, 1.1493704931452986, 0.1611171855882534, 0.6263455113522666, 0.6746901004230249, 3.4536617872777953, 3.778496653537819, 15.36387581837258, 18.787371293930427, 1.2631045684031155, 4.501288914408982, 13.59034672891432), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 234, observation: (0, 0.16539774366630158, 0.5, 0.26189675236523613, 0.8202288281848303, 15.370832049733298, 30.886675751232396, 7.566089725792178, 18.29924999594737, 5.014581303049135, 15.296991317548285, 19.00803864287399), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 72, observation: (0, 2.839538642331483, 0.40289774366630154, 0.8564683934184356, 0.15033984359053343, 2.755498752646428, 2.3419765741427065, 16.896431102776287, 2.0850453266036495, 2.434700534145186, 8.82878205587376, 5.063191264641266), rho: 0.4, reward: 5.252023696899414 - 1, eps: 1.0, sample: -1, 
