[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 238
[ENV]: Finished init Environment
[TRAIN]: actions: 238, observations: 360
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -220.28598034381866, reward_t: [-15.0, -10.0, -14.0, -15.0, 0.0, -12.924469947814941, -15.0, 0.4592169523239136, -11.93529987335205, -15.0, -15.0, -3.0, -13.0, -15.0, -15.0, -10.91347885131836, -15.0, 0.0, -13.971948623657227, -11.0], rates: 0.7140199184370297, rate_t: [0, 0, 0, 0, 0.0, 0.07552981975714132, 0, 0.4592169516306501, 0.06470044836355023, 0, 0, 0, 0, 0, 0, 0.08652103625500415, 0, 0.0, 0.028051662430683837, 0], loss: 0, rho: 0.4625, rho_t: [0.625, 0.625, 0.25, 0.25, 0.5, 0.5, 0.875, 0.5, 0.75, 0.5, 0.25, 0.125, 0.375, 0.375, 0.25, 0.75, 0.75, 0.375, 0.5, 0.125], transmit_actions: 10, transmit_actions_t: [1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0], bound: 26.922246256798676, bound_t: [1.171076885613396, 0.9433759758738802, 1.4787309648920637, 1.2910426339548828, 1.1610999478967505, 1.4150190430598297, 0.990480681203681, 1.1741704540609765, 1.1508109828120838, 1.2022857295957425, 1.7765717021604013, 1.4266377400277375, 1.5059636207101863, 1.4791525853753964, 1.3946969497031119, 1.3197566407704764, 1.6006764110299758, 1.5459801017769257, 1.540996802344323, 1.353720403936855],P: [0.25, 0.3125, 0.625, 0.875, 0.0, 0.625, 0.0625, 0.0625, 0.4375, 0.5, 0.8125, 0.5, 0.3125, 0.4375, 0.5625, 0.5625, 0.0, 0.0, 0.9375, 0.3125]
[TRAIN]: (2/1600): reward: -199.8045836687088, reward_t: [-15.0, 0.0, -13.983075141906738, -9.0, 0.45208805799484253, -11.827762603759766, -15.0, -12.9813232421875, -0.16963130235671997, -15.0, -5.29487943649292, -15.0, -1.0, -11.0, -15.0, -15.0, -15.0, -15.0, 0.0, -15.0], rates: 2.195415614222328, rate_t: [0, 0, 0.016925159076796426, 0, 0.45208805679212977, 0.17223701698159483, 0, 0.018676353431848695, 0.830368700285824, 0, 0.7051203276541339, 0, 0, 0, 0, 0, 0, 0, 0, 0], loss: 0, rho: 0.5, rho_t: [0.125, 0.625, 0.375, 0.75, 0.625, 0.375, 0.5, 0.875, 0.125, 0.375, 0.25, 0.125, 0.75, 0.625, 0.875, 0.875, 0.875, 0.625, 0.125, 0.125], transmit_actions: 10, transmit_actions_t: [1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], bound: 27.854393228934114, bound_t: [1.283980742149948, 1.1789940291280026, 1.3866182219007104, 1.5687316460317757, 1.3713149538252922, 1.1356180171414338, 1.5250096530787516, 1.4179671767591173, 1.062802998710107, 1.306011145049027, 1.5570883884977904, 1.3569653084042181, 1.6624294947184555, 1.2637746419488312, 1.4137253541068076, 1.7317771535047701, 1.5706093293622558, 1.3297666158417785, 1.380329224323207, 1.3508791344518334],P: [0.75, 0.0625, 0.6875, 0.625, 0.125, 0.625, 0.125, 1.0, 0.125, 0.6875, 0.25, 0.875, 0.25, 0.875, 1.0, 0.5, 0.8125, 0.75, 0.625, 0.875]
[TRAIN]: (3/1600): reward: -243.8482557684183, reward_t: [-15.0, -11.88013744354248, -15.0, -8.6685209274292, -15.0, -15.0, -13.944131851196289, -7.0, -15.0, -15.0, -3.0460174083709717, -15.0, -8.82284927368164, 0.21139536798000336, -15.0, -15.0, -15.0, -10.697994232177734, -15.0, -15.0], rates: 3.1517437091393212, rate_t: [0, 0.11986284238339726, 0, 0.33147904332198025, 0, 0, 0.05586793265999408, 0, 0, 0, 0.9539826849142332, 0, 0.17715031351515612, 1.2113953674644196, 0, 0, 0, 0.3020055248801403, 0, 0], loss: 0, rho: 0.49375, rho_t: [0.5, 0.625, 0.875, 0.25, 0.625, 0.125, 0.25, 0.625, 0.625, 0.375, 0.125, 0.625, 0.625, 0.25, 0.875, 0.625, 0.5, 0.25, 0.5, 0.625], transmit_actions: 10, transmit_actions_t: [1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0], bound: 28.07633655653701, bound_t: [1.3456420736543195, 1.6226446369012266, 0.959126920923589, 1.2894188819830579, 1.1874849557975526, 1.2672152374832162, 1.145613522461878, 1.3842306348888127, 1.3060740414961185, 1.1877843606637806, 1.4094824099282688, 1.5198545246392126, 1.1952034136566705, 1.7431796806747122, 1.5909261097193936, 1.6945376313338256, 1.4015795570600895, 1.6928201309987463, 1.4910758890457427, 1.642441943226799],P: [0.5625, 0.375, 0.8125, 0.3125, 0.9375, 1.0, 0.125, 0.75, 0.125, 0.3125, 0.1875, 0.0, 0.25, 0.125, 0.625, 0.625, 0.9375, 0.4375, 0.6875, 0.75]
[TRAIN]: (4/1600): reward: -227.97942864894867, reward_t: [0.0, -3.7566707134246826, -15.0, -1.7850347757339478, -14.0, -15.0, -11.954842567443848, -8.927330017089844, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, 0.0, -12.963278770446777, -15.0, -9.59227180480957, -15.0, -15.0], rates: 2.0205713158198817, rate_t: [0, 0.24332936248593678, 0, 1.214965237526346, 0, 0, 0.04515769485058495, 0.07266959084603392, 0, 0, 0, 0, 0, 0, 0, 0.03672117907197309, 0, 0.40772825103900684, 0, 0], loss: 80.86076983283547, rho: 0.5875, rho_t: [0.5, 0.75, 0.625, 0.125, 0.5, 0.75, 0.875, 0.875, 0.875, 0.875, 0.125, 0.375, 0.875, 0.125, 0.125, 0.875, 0.75, 0.375, 0.625, 0.75], transmit_actions: 7, transmit_actions_t: [0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0], bound: 29.239445377581422, bound_t: [1.3782740733697378, 1.3366977122820762, 1.3477955314798484, 1.7610334069757718, 1.277149570470732, 1.120003505205091, 1.4255362807517102, 1.462516716399548, 1.3522919220552796, 1.2805518573352974, 1.3452615821285918, 1.5534043067852066, 1.521456896897007, 1.6472846337459548, 1.8657988414665225, 1.606633289547933, 1.1150284982866787, 1.6405735995673956, 1.5881473671573791, 1.6140057856736623],P: [0.5625, 0.1875, 1.0, 0.1875, 0.1875, 0.5625, 0.6875, 0.3125, 0.1875, 0.0625, 0.5, 0.3125, 0.625, 0.4375, 1.0, 0.75, 0.0625, 0.4375, 0.3125, 0.125]
[TRAIN]: (5/1600): reward: -203.46355591714382, reward_t: [-15.0, 0.0, 0.0, -15.0, -10.74980354309082, -15.0, 0.0, -15.0, -4.0, -15.0, 0.22067774832248688, -15.0, -15.0, -15.0, -6.499910354614258, -10.76685619354248, -15.0, -8.66766357421875, -13.0, -15.0], rates: 1.5364432268775783, rate_t: [0, 0, 0.0, 0, 0.25019605784927745, 0, 0, 0, 0, 0, 0.22067775117074173, 0, 0, 0, 0.5000896773474848, 0.2331433522715411, 0, 0.3323363882385332, 0, 0], loss: 14.157401323318481, rho: 0.44375, rho_t: [0.125, 0.375, 0.25, 0.125, 0.25, 0.125, 0.25, 0.375, 0.5, 0.375, 0.875, 0.5, 0.75, 0.75, 0.5, 0.5, 0.75, 0.25, 0.5, 0.75], transmit_actions: 10, transmit_actions_t: [1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0], bound: 29.422061000951064, bound_t: [1.2784365913360844, 1.212596203882222, 1.2668236501714307, 1.4441487872051, 1.3966275825221368, 1.4914209169075374, 1.4202240365113101, 1.159652220965781, 1.8119720777806583, 1.6727254873970994, 1.7662481578508324, 1.7805694722673115, 0.9994447628198958, 1.3890930147119707, 1.67452121129186, 1.847065562963587, 1.287917616592308, 1.1194453320360451, 1.4811874591697458, 1.9219408565681533],P: [0.125, 0.5, 0.0, 0.3125, 0.5625, 1.0, 1.0, 0.625, 0.875, 0.0625, 0.0625, 0.6875, 0.1875, 0.375, 0.25, 0.3125, 0.25, 0.4375, 0.75, 0.8125]
[TRAIN]: (6/1600): reward: -236.03460323810577, reward_t: [0.0, -14.0, -15.0, -15.0, -13.978452682495117, -15.0, -15.0, -14.0, -15.0, -15.0, -11.900740623474121, -7.536361217498779, -15.0, -15.0, -15.0, -10.662275314331055, 0.0, -15.0, 1.0432265996932983, -15.0], rates: 1.9653970439060902, rate_t: [0, 0, 0, 0, 0.021547020884371142, 0, 0, 0, 0, 0, 0.09925979496090899, 0.46363881767330084, 0, 0, 0, 0.33772475259709334, 0, 0, 1.043226657790416, 0], loss: 13.124391436576843, rho: 0.51875, rho_t: [0.625, 0.875, 0.125, 0.875, 0.875, 0.25, 0.875, 0.625, 0.75, 0.375, 0.75, 0.375, 0.25, 0.625, 0.375, 0.25, 0.125, 0.5, 0.375, 0.5], transmit_actions: 6, transmit_actions_t: [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0], bound: 28.298047746671898, bound_t: [1.2938037068749524, 1.183854087016198, 1.6461956742063064, 1.1843255716299017, 1.9238910644617502, 1.1092164433535574, 1.295479568273146, 1.4053469928715192, 1.2126241106018174, 1.2562443878453475, 1.6427953642274808, 1.734878214622172, 1.382768342097027, 1.6559762969454772, 1.1247455717177406, 1.380338042626403, 1.5130022200967885, 1.5304432984647836, 1.6694265218542346, 1.152692266885298],P: [0.375, 0.75, 0.125, 0.6875, 0.8125, 1.0, 0.0, 0.4375, 0.5625, 0.6875, 0.3125, 0.3125, 0.125, 0.0, 0.125, 0.625, 1.0, 0.1875, 0.125, 0.9375]
[TRAIN]: (7/1600): reward: -210.8912577331066, reward_t: [-15.0, -8.8906888961792, -15.0, -15.0, -10.865073204040527, -13.0, -11.810221672058105, -8.0, 0.2734086215496063, -8.641468048095703, -2.8459765911102295, -0.6813940405845642, -11.76038932800293, -15.0, -15.0, -8.0, -8.685393333435059, -15.0, -15.0, -12.984061241149902], rates: 2.1087433111888028, rate_t: [0, 0.10931143040617441, 0, 0, 0.1349271017270115, 0, 0.18977875852140746, 0, 0.2734086148174234, 0.35853178496517113, 0.15402334891434935, 0.3186059470573696, 0.23961052673713906, 0, 0, 0, 0.3146066258355323, 0, 0, 0.015939172207224576], loss: 11.410713958740235, rho: 0.5125, rho_t: [0.375, 0.75, 0.625, 0.75, 0.375, 0.5, 0.5, 0.125, 0.75, 0.125, 0.875, 0.75, 0.125, 0.25, 0.625, 0.375, 0.5, 0.25, 0.875, 0.75], transmit_actions: 12, transmit_actions_t: [0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1], bound: 28.555983107857102, bound_t: [1.1050702799329128, 1.3660991609072115, 1.6351391940378168, 1.3170129249208817, 0.9298167248435961, 1.4490547957703528, 1.4321962139561377, 1.4218350487631324, 1.173529303342848, 1.1371160072013582, 1.5520936283057907, 1.4022129416407147, 1.609244174732902, 1.7245781246861938, 1.5550129911359225, 1.261039373751933, 1.6606169744360146, 1.514751579102901, 1.8003656826622074, 1.509197983726277],P: [0.0, 0.5, 0.3125, 0.4375, 0.6875, 0.4375, 0.9375, 0.5, 0.125, 0.375, 0.1875, 0.125, 0.5, 0.5625, 0.75, 0.3125, 0.375, 0.3125, 0.5, 0.875]
[TRAIN]: (8/1600): reward: -182.5804968327284, reward_t: [0.0, -1.0, -1.340425968170166, -15.0, -15.0, -13.875313758850098, -12.847917556762695, -11.814859390258789, -15.0, -15.0, -9.82270622253418, -15.0, 0.8168259859085083, -10.697476387023926, -5.858357906341553, 0.2005680352449417, -9.417683601379395, -15.0, -12.923150062561035, -4.0], rates: 3.419503019998984, rate_t: [0, 0, 0.6595740248800415, 0, 0, 0.12468579458931045, 0.15208273598983196, 0.18514103011292868, 0, 0, 0.1772938662907409, 0, 0.8168259872989123, 0.3025238836832806, 0.14164195578452016, 0.20056802833060564, 0.5823160591403125, 0, 0.07684965389849956, 0], loss: 11.433110976219178, rho: 0.43125, rho_t: [0.25, 0.25, 0.25, 0.25, 0.75, 0.375, 0.375, 0.125, 0.75, 0.625, 0.5, 0.375, 0.5, 0.25, 0.875, 0.875, 0.125, 0.375, 0.5, 0.25], transmit_actions: 13, transmit_actions_t: [0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0], bound: 28.146815434716675, bound_t: [1.1858085112003056, 1.2125218259575516, 0.9885205456394428, 1.4875326917982175, 1.35826207995405, 1.1878111361534738, 1.4833117279571644, 1.1583302907147306, 1.2825167935738442, 1.4456998305575695, 1.3898582646502686, 1.2916871204793827, 1.634389913432764, 1.1344551161634842, 1.7892307793931244, 1.6048083631135461, 1.4487130079998944, 1.5624588972123685, 1.850538609516261, 1.6503599292492297],P: [0.4375, 0.625, 0.1875, 0.3125, 0.5, 0.5, 0.5, 0.5, 0.75, 0.0625, 0.3125, 0.0625, 0.0625, 0.5, 0.3125, 0.125, 0.375, 0.8125, 0.625, 0.625]
[TRAIN]: (9/1600): reward: -193.65660691261292, reward_t: [0.0, -6.0, -15.0, -4.398772239685059, -15.0, -15.0, -15.0, -7.0, -11.925362586975098, 0.0, -2.332472085952759, -15.0, -1.0, -11.0, -15.0, -15.0, -15.0, -15.0, 0.0, -15.0], rates: 1.3433930337702127, rate_t: [0, 0, 0, 0.6012279511478883, 0, 0, 0, 0, 0.07463726277443548, 0, 0.6675278198478889, 0, 0, 0, 0, 0, 0, 0, 0, 0], loss: 10.645587074756623, rho: 0.39375, rho_t: [0.375, 0.25, 0.5, 0.25, 0.25, 0.5, 0.5, 0.125, 0.75, 0.25, 0.5, 0.25, 0.375, 0.25, 0.375, 0.875, 0.125, 0.125, 0.75, 0.5], transmit_actions: 9, transmit_actions_t: [0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0], bound: 29.152004140766177, bound_t: [1.4822126752388622, 1.0229385830580309, 1.2754970484811357, 1.1551101460891267, 1.3991574335769248, 1.5496856549106355, 1.1698281360232803, 1.5132212645241652, 1.405935345453933, 1.2436921909605596, 1.7645401092536257, 1.8164612911890834, 1.7112562145718297, 1.4950320997799744, 1.2855812146633017, 1.3728324006919195, 1.5189284995447838, 1.6312430690035702, 1.37922290023927, 1.9596278635121644],P: [0.5, 0.5, 0.4375, 0.25, 0.875, 0.9375, 0.625, 0.5625, 0.5625, 1.0, 0.1875, 0.8125, 0.75, 0.375, 0.125, 0.5625, 0.875, 0.875, 0.125, 0.125]
[TRAIN]: (10/1600): reward: -220.9233946800232, reward_t: [-15.0, -6.0, -15.0, -14.0, 0.5810093879699707, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, -15.0, 0.0, -2.0, -8.673330307006836, 0.0, -15.0, -10.831073760986328, -15.0, -15.0], rates: 1.0766048068169103, rate_t: [0, 0, 0, 0, 0.5810093992626918, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3266695769207011, 0, 0, 0.1689258306335174, 0, 0], loss: 11.04099119901657, rho: 0.4625, rho_t: [0.625, 0.625, 0.875, 0.625, 0.375, 0.5, 0.625, 0.75, 0.625, 0.5, 0.25, 0.375, 0.125, 0.5, 0.25, 0.25, 0.375, 0.5, 0.125, 0.375], transmit_actions: 8, transmit_actions_t: [1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1], bound: 27.882891755600593, bound_t: [1.3744408709308304, 1.4301695625838067, 1.35385353291914, 1.5470377675546358, 1.0883968931303556, 1.2737330563839906, 1.1989397842349887, 1.216208998408847, 1.3696162285459699, 1.3749179815271961, 1.4489065160351267, 1.4868376181686138, 1.3100779237069726, 1.4814314519590654, 1.4071210604836752, 1.5457806120113757, 1.5724242209093098, 1.3178388731230293, 1.3443064476218909, 1.7408523553617756],P: [1.0, 0.9375, 0.6875, 0.9375, 0.125, 0.875, 0.9375, 0.1875, 0.3125, 0.5625, 0.9375, 0.8125, 0.625, 0.875, 0.3125, 0.9375, 0.125, 0.5625, 0.75, 0.5]
