[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 64
[ENV]: Finished init Environment
[TRAIN]: actions: 64, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -1.031323254108429, rates: 8.968676745891571, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: 17.7293698489666, rates: 25.7293698489666, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -10.310933887958527, rates: 4.689066112041473, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -9.05986200273037, rates: 1.9401379972696304, loss: 3.1337693018071793, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -7.579853951931, rates: 6.420146048069, loss: 2.3467233657836912, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -10.80688464641571, rates: 4.1931153535842896, loss: 2.205942416191101, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -9.95734690129757, rates: 5.042653098702431, loss: 1.9667337536811829, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: 6.034123990684748, rates: 16.034123990684748, loss: 1.7361950248479843, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -0.5024239122867584, rates: 11.497576087713242, loss: 1.8534788489341736, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -12.803919792175293, rates: 5.196080207824707, loss: 1.7468516439199449, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -19.0, rates: 0, loss: 1.5728600680828095, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -8.708997249603271, rates: 5.2910027503967285, loss: 1.3640962153673173, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: 4.46098905056715, rates: 14.46098905056715, loss: 1.5899248838424682, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: 2.9925655350089073, rates: 15.992565535008907, loss: 1.4474815130233765, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -12.461518257856369, rates: 3.538481742143631, loss: 1.856110617518425, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -5.00416687130928, rates: 5.99583312869072, loss: 1.5151731580495835, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -9.53931576013565, rates: 3.4606842398643494, loss: 1.4162777990102768, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -13.936586536467075, rates: 0.06341346353292465, loss: 1.4144427269697188, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -5.7103354930877686, rates: 6.2896645069122314, loss: 1.315919315814972, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -8.793621063232422, rates: 6.206378936767578, loss: 1.158423689007759, rho: 0.4000000000000001
[TRAIN]: (21/1600): reward: -11.005860932171345, rates: 4.994139067828655, loss: 1.2700324535369873, rho: 0.4000000000000001
[TRAIN]: (22/1600): reward: 2.5994953513145447, rates: 14.599495351314545, loss: 1.145045953989029, rho: 0.4000000000000001
[TRAIN]: (23/1600): reward: -3.7980815917253494, rates: 9.20191840827465, loss: 1.395598977804184, rho: 0.4000000000000001
[TRAIN]: (24/1600): reward: 1.8060077875852585, rates: 14.806007787585258, loss: 1.345118346810341, rho: 0.4000000000000001
[TRAIN]: (25/1600): reward: -6.332008481025696, rates: 6.667991518974304, loss: 1.409929797053337, rho: 0.4000000000000001
[TRAIN]: (26/1600): reward: -14.0, rates: 0, loss: 1.5280503034591675, rho: 0.4000000000000001
[TRAIN]: (27/1600): reward: -6.600582718849182, rates: 8.399417281150818, loss: 1.4420940667390822, rho: 0.4000000000000001
[TRAIN]: (28/1600): reward: -12.116698533296585, rates: 0.8833014667034149, loss: 1.3139487206935883, rho: 0.4000000000000001
[TRAIN]: (29/1600): reward: -10.526241227984428, rates: 5.473758772015572, loss: 1.382023322582245, rho: 0.4000000000000001
[TRAIN]: (30/1600): reward: -0.07378995418548584, rates: 11.926210045814514, loss: 1.2131192296743394, rho: 0.4000000000000001
[TRAIN]: (31/1600): reward: -5.426587246358395, rates: 6.573412753641605, loss: 1.3645915687084198, rho: 0.4000000000000001
[TRAIN]: (32/1600): reward: 2.3888644464313984, rates: 12.388864446431398, loss: 1.3458395302295685, rho: 0.4000000000000001
