[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 224
[ENV]: Finished init Environment
[TRAIN]: actions: 224, observations: 10
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -5.934372499585152, reward_t: [0.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.0, 0.0, 0.2034674435853958, -1.0, 0.0, -1.0, 0.0, 0.0, 0.2102614939212799, -1.0, 0.8138381242752075, -1.0, 0.8380604386329651, -1.0], rates: 2.0656275338404555, rate_t: [0, 0, 0, 0, 0, 0, 0, 0, 0.20346743653483484, 0, 0, 0, 0, 0, 0.2102614914650595, 0, 0.8138381490632387, 0, 0.8380604567773225, 0], loss: 0, rho: 0.39375, rho_t: [0.125, 0.625, 0.625, 0.25, 0.25, 0.5, 0.5, 0.125, 0.75, 0.125, 0.125, 0.125, 0.125, 0.125, 0.875, 0.25, 0.5, 0.75, 0.375, 0.75], transmit_actions: 9, transmit_actions_t: [0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0], bound: 30.37015267613946, bound_t: [1.1261495071191445, 1.4365608584325968, 1.1747994132156985, 1.3503526463922797, 1.0396788482948711, 0.9875662984883147, 1.0158600813033574, 1.3543620935661016, 0.9822417756056357, 1.0264720398280986, 2.691986426528021, 2.495551191964636, 2.3047247552803083, 2.120103871089629, 1.942289964053503, 1.771872649579338, 1.609410708099972, 1.4554114391554722, 1.310309719373907, 1.1744483887685704], C: [0.0, 0.12646281326676886, 0.0, 0.1421351862208682, 0.1731015432138659, 0.0, 0.14185873722068335, 0.326111568488877, 0.4040799178837906, 0.49025644884704167, 0.0, 0.045979027316965036, 0.0, 0.15595153720330937, 0.24030754354777692, 0.36161526178523967, 0.5, 0.25251307664431577, 0.4237535470713008, 0.17809455803289642], P_bound_t: [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.6875, 0.625, 0.375, 0.375, 0.6875, 0.1875, 0.375, 0.75, 0.125, 1.0, 0.8125, 0.5, 0.625, 0.75, 0.125, 0.1875, 0.5625, 0.5625, 0.625, 0.3125]
[TRAIN]: (2/1600): reward: -8.187103629112244, reward_t: [-1.0, -1.0, 0.0, -1.0, 0.0, 0.10250645875930786, 0.5141217112541199, 0.47459423542022705, 0.37789714336395264, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.3437768220901489, -1.0, 0.0, -1.0, 0.0], rates: 1.8128963570144898, rate_t: [0, 0, 0, 0, 0, 0.10250645641952406, 0.5141216857437032, 0.4745942429472626, 0.37789715656591927, 0, 0, 0, 0, 0, 0, 0.3437768153380807, 0, 0, 0, 0], loss: 0, rho: 0.44375, rho_t: [0.125, 0.375, 0.375, 0.75, 0.125, 0.875, 0.375, 0.375, 0.625, 0.625, 0.5, 0.125, 0.625, 0.125, 0.375, 0.75, 0.25, 0.5, 0.625, 0.375], transmit_actions: 11, transmit_actions_t: [1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0], bound: 24.780027101085082, bound_t: [1.1793393837242285, 0.882555622314882, 0.8822598189707506, 0.9562653894742318, 0.9056473323422711, 0.8200516513561925, 0.8729995640222854, 0.7722573098193788, 1.0235628208953744, 0.7989576003661832, 2.365867803660973, 2.1649639233602898, 1.9717919333223453, 1.787093973698855, 1.611575070998807, 1.4458734177699695, 1.2905299971659703, 1.145960257977286, 1.0124307617482768, 0.8900434680965309], C: [0.0, 0.0, 0.0, 0.26568766358612417, 0.2780217455182533, 0.3348103408106025, 0.5, 0.40913259389840917, 0.39108253016140615, 0.36343505711369906, 0.5, 0.5, 0.5, 0.5, 0.0, 0.14720416055844582, 0.2212153245830677, 0.0, 0.12939736856206177, 0.07880755593791866], P_bound_t: [0.32717168265949625, 0.39828196685631156, 0.48484796677230974, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.0625, 0.875, 0.6875, 0.6875, 0.9375, 0.5, 0.3125, 0.4375, 0.4375, 0.3125, 0.5625, 0.125, 0.8125, 1.0, 0.625, 0.3125, 0.4375, 0.25, 0.5625, 0.625]
[TRAIN]: (3/1600): reward: -3.0285366475582123, reward_t: [0.0, 0.0, -1.0, 0.2310352623462677, -1.0, -1.0, 0.5314355492591858, 0.31316471099853516, 0.10415741801261902, 0.0, -1.0, -1.0, 1.5932953357696533, -1.0, -1.0, 1.1164157390594482, -1.0, 0.18008749186992645, 0.6609732508659363, 0.24089859426021576], rates: 4.97146329024634, rate_t: [0, 0, 0, 0.23103525630687202, 0, 0, 0.5314355243998528, 0.31316472410858015, 0.1041574189392874, 0, 0, 0, 1.5932953306923532, 0, 0, 1.1164156827587945, 0, 0.18008749558779424, 0.6609732670626329, 0.24089859039017308], loss: 0, rho: 0.49375, rho_t: [0.125, 0.625, 0.5, 0.75, 0.125, 0.375, 0.375, 0.625, 0.875, 0.5, 0.375, 0.625, 0.25, 0.125, 0.25, 0.375, 0.875, 0.875, 0.5, 0.75], transmit_actions: 9, transmit_actions_t: [0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1], bound: 28.197071168184767, bound_t: [1.264567855986135, 1.0882244171642703, 0.8783590024428922, 0.8600538022061797, 0.8600149679515753, 0.8070662407238329, 0.8382969888531158, 0.803865626649094, 0.7866478914224857, 1.1306652102035708, 2.7210653619075575, 2.5170710576624966, 2.31901431826282, 2.1275551959813686, 1.9433603555477963, 1.7670837183113481, 1.5993439511056358, 1.440699964702354, 1.2916261082025373, 1.152489132897703], C: [0.0, 0.07786761745853611, 0.28229807927474126, 0.5, 0.5, 0.5, 0.5, 0.30825683077835464, 0.24310954396941442, 0.2973879429966063, 0.48382153142150575, 0.5, 0.5, 0.5, 0.5, 0.5, 0.26618066580822985, 0.33586795915356643, 0.3841426932809446, 0.19676906425217866], P_bound_t: [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.8125, 0.5625, 0.1875, 0.9375, 0.5625, 0.4375, 0.5625, 0.6875, 0.8125, 0.875, 0.4375, 0.625, 0.1875, 0.4375, 0.125, 0.5625, 0.8125, 0.5, 0.625, 0.125]
[TRAIN]: (4/1600): reward: -5.0471857488155365, reward_t: [0.0, -1.0, -1.0, -1.0, 0.0, 0.2188715785741806, -1.0, 0.14977127313613892, 0.13910993933677673, 0.06082332134246826, 0.21388354897499084, -1.0, 0.0, 0.7413622736930847, 0.0, 0.19378094375133514, -1.0, 0.23521137237548828, 0.0, -1.0], rates: 1.9528142438669658, rate_t: [0, 0, 0, 0, 0, 0.21887157333425594, 0, 0.14977126700713267, 0.13910994669464422, 0.06082331971806369, 0.21388355598597475, 0, 0, 0.7413622715204697, 0, 0.19378094155228437, 0, 0.2352113680541406, 0, 0], loss: 0.4526935289887821, rho: 0.50625, rho_t: [0.125, 0.25, 0.625, 0.75, 0.125, 0.625, 0.125, 0.75, 0.625, 0.875, 0.875, 0.625, 0.375, 0.375, 0.375, 0.75, 0.5, 0.625, 0.375, 0.375], transmit_actions: 10, transmit_actions_t: [0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1], bound: 16.705383794952546, bound_t: [1.3692539229696756, 0.8494348657545753, 0.7750501036265418, 0.6990016128740147, 0.7148901977417929, 0.6067710579228889, 0.5661838924558943, 0.5631142866941372, 0.46194713956194716, 0.4481386913223955, 1.7329058059488294, 1.5175640048305166, 1.3182204585684278, 1.1357794856197927, 0.9707851208185002, 0.8233710915589497, 0.6932481648466705, 0.5797313368633253, 0.48180159853007115, 0.3981909564435951], C: [0.0, 0.17755787639983384, 0.36124087434753904, 0.3507579407214846, 0.5, 0.5, 0.47935006157550686, 0.5, 0.3806417620341439, 0.45559536687059055, 0.4351512408310183, 0.5, 0.5, 0.5, 0.19364637478900604, 0.31977070230152527, 0.35926068568154, 0.5, 0.26002704122565246, 0.4490250640408866], P_bound_t: [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.75, 0.125, 0.8125, 0.8125, 0.625, 0.375, 0.1875, 0.8125, 0.125, 0.9375, 0.4375, 0.9375, 0.875, 0.75, 0.375, 0.3125, 0.5625, 0.9375, 0.4375, 0.875]
[TRAIN]: (5/1600): reward: -3.363567888736725, reward_t: [0.0, -1.0, 1.054275631904602, 0.0, 1.2357577085494995, 1.3315718173980713, -1.0, -1.0, -1.0, 0.0, 1.927250862121582, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.08757609128952026, -1.0], rates: 5.636432201380471, rate_t: [0, 0, 1.0542756149048695, 0, 1.2357577224379748, 1.3315718581770997, 0, 0, 0, 0, 1.927250911026987, 0, 0, 0, 0, 0, 0, 0, 0.08757609483353959, 0], loss: 0.49825348854064944, rho: 0.46875, rho_t: [0.5, 0.25, 0.25, 0.25, 0.25, 0.375, 0.875, 0.25, 0.375, 0.125, 0.125, 0.375, 0.875, 0.75, 0.625, 0.75, 0.125, 0.625, 0.875, 0.75], transmit_actions: 11, transmit_actions_t: [0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0], bound: 32.73611898779841, bound_t: [1.3652700048458837, 1.411581967106196, 1.5649050114169247, 1.721060301108824, 1.8209235065493103, 2.1547547943348597, 2.104334668630912, 2.043600705328848, 2.0054851661328192, 2.1144636712304004, 2.4000481697840317, 2.149587000772276, 1.9111959966335736, 1.6862928753751179, 1.4761832468676575, 1.2819708499602829, 1.104471077571459, 0.9441408923855287, 0.8010372550171408, 0.6748118267463683], C: [0.0, 0.2439103046626268, 0.5, 0.5, 0.5, 0.5, 0.36231789891309174, 0.5, 0.0, 0.0, 0.1883695145132764, 0.1350216247782352, 0.0, 0.033790848352243136, 0.0, 0.015396002452619684, 0.07526210811222936, 0.033900212051878376, 0.08033579910745037, 0.13726643099740438], P_bound_t: [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.0625, 0.3125, 0.1875, 0.9375, 0.1875, 0.4375, 0.0625, 0.75, 0.875, 0.3125, 0.1875, 0.8125, 0.625, 1.0, 0.5625, 0.5, 0.1875, 0.5625, 0.1875, 0.0625]
[TRAIN]: (6/1600): reward: -11.311833888292313, reward_t: [0.0, 0.585392951965332, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, -1.0, -1.0, 0.37208250164985657, 0.46693336963653564, -1.0, 0.26375728845596313, -1.0, -1.0, -1.0], rates: 1.6881660941626, rate_t: [0, 0.5853929652289724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3720824876920804, 0.4669333633704128, 0, 0.26375727787113434, 0, 0, 0], loss: 0.5061344429850578, rho: 0.51875, rho_t: [0.375, 0.25, 0.375, 0.125, 0.75, 0.5, 0.625, 0.875, 0.125, 0.25, 0.875, 0.75, 0.875, 0.625, 0.5, 0.75, 0.375, 0.375, 0.25, 0.75], transmit_actions: 12, transmit_actions_t: [0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0], bound: 17.183202528830602, bound_t: [0.9912217941282926, 0.8892900817253874, 0.8341608988314779, 0.8897457473950371, 0.9171458320903219, 0.7331658529415637, 0.798777036064844, 0.8067748841894599, 0.8178829255765512, 0.8303457584368287, 1.6354624907059465, 1.4133890527321897, 1.2101542837859856, 1.0266298830664893, 0.8631755881031684, 0.7196007360826452, 0.5951847623910179, 0.4887521045942993, 0.39878566676076443, 0.3235571492283327], C: [0.0, 0.14936278344001985, 0.22750208219231016, 0.10478170445836588, 0.0, 0.0, 0.0, 0.0, 0.08239829289394326, 0.0, 0.03026094569799336, 0.21889219720171313, 0.261267448059071, 0.4938964001533268, 0.5, 0.10573110724599033, 0.2225738522843913, 0.24883499197578318, 0.3144331124211779, 0.33956071435779633], P_bound_t: [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.3125, 0.1875, 0.75, 0.25, 0.5625, 0.625, 0.75, 0.375, 0.6875, 0.5, 0.3125, 0.8125, 1.0, 0.375, 1.0, 0.5, 0.0625, 0.25, 0.0625, 0.875]
[TRAIN]: (7/1600): reward: -15.914728969335556, reward_t: [-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, 0.08527103066444397, -1.0, 0.0], rates: 0.08527102777648889, rate_t: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.08527102777648889, 0, 0], loss: 0.554221148788929, rho: 0.45, rho_t: [0.125, 0.75, 0.25, 0.625, 0.375, 0.875, 0.625, 0.125, 0.125, 0.5, 0.125, 0.75, 0.125, 0.625, 0.625, 0.125, 0.375, 0.875, 0.125, 0.875], transmit_actions: 15, transmit_actions_t: [1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0], bound: 18.864791145625322, bound_t: [0.8851691544429466, 1.0380194414402513, 0.8077285813694585, 0.8805424734876397, 0.7314083641744554, 0.8622286317561972, 0.8851064441718006, 0.694734158539643, 0.7265061133836606, 0.7657068684287317, 1.8536676468335624, 1.6349070388847085, 1.4308660504310957, 1.2425520600917275, 1.0706806690368587, 0.915614678867572, 0.7773316086625092, 0.6554257379472606, 0.5491442916563725, 0.4574511320188663], C: [0.0, 0.0, 0.125278316662649, 0.0, 0.10954970606080117, 0.016232858659394223, 0.08005785687468123, 0.0, 0.10092499526685608, 0.0, 0.0, 0.0, 0.0, 0.015354746732345728, 0.1647851691648748, 0.23453874061438595, 0.3171961456926168, 0.4580097283888215, 0.5, 0.0], P_bound_t: [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.9375, 0.375, 0.9375, 0.25, 0.5625, 0.6875, 0.9375, 0.375, 0.5, 0.875, 0.75, 1.0, 0.125, 0.0625, 0.5625, 0.1875, 0.0625, 0.6875, 0.75, 0.25]
[TRAIN]: (8/1600): reward: -3.4815560281276703, reward_t: [0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0, 0.0, 0.3941115438938141, -1.0, -1.0, 0.695950448513031, 0.2823009490966797, 2.0239052772521973, 0.0, 0.2671831548213959, 0.674198567867279, 0.18079403042793274], rates: 4.518443980633663, rate_t: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.39411154597875264, 0, 0, 0.6959504619186477, 0.2823009380680189, 2.0239052567837787, 0, 0.2671831530802801, 0.6741985877432011, 0.18079403706098357], loss: 0.5106346294283867, rho: 0.6, rho_t: [0.875, 0.625, 0.375, 0.875, 0.125, 0.625, 0.25, 0.75, 0.625, 0.5, 0.875, 0.125, 0.75, 0.75, 0.875, 0.125, 0.5, 0.875, 0.625, 0.875], transmit_actions: 12, transmit_actions_t: [0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1], bound: 43.38377635279179, bound_t: [1.1209828632581644, 1.1326262888288097, 1.8443896920900902, 2.107044966325424, 1.887993949831337, 1.698068271088752, 2.0946418806567153, 2.1223019366360694, 2.3027565538665433, 2.147330846862268, 3.180739569234815, 3.0200044476000754, 2.8617510757477636, 2.7062217991135413, 2.553671345086256, 2.404364825016006, 2.258575084597588, 2.116579370466678, 1.9786553136844578, 1.8450762728004353], C: [0.0, 0.13856536613288034, 0.4286108296205595, 0.053434210904346635, 0.01271226219149535, 0.0, 0.16217750526241137, 0.0, 0.08015785591768025, 0.10787231406778997, 0.3404281794152933, 0.43954456575718814, 0.5, 0.5, 0.5, 0.5, 0.35496823129438715, 0.42873572214143957, 0.5, 0.5], P_bound_t: [0.3667836217447958, 0.42913951044032567, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.5625, 0.0625, 0.6875, 0.6875, 1.0, 0.4375, 0.75, 0.125, 0.625, 0.6875, 0.4375, 0.375, 0.6875, 0.75, 0.125, 0.3125, 0.75, 0.5625, 0.1875, 0.0625]
[TRAIN]: (9/1600): reward: -0.7546654343605042, reward_t: [-1.0, 0.0, 0.0, -1.0, -1.0, -1.0, 0.4262527823448181, -1.0, 0.3869193196296692, 0.33076080679893494, 0.0, -1.0, 0.2404366433620453, 1.589707374572754, 0.7579418420791626, 0.7248498201370239, 0.5562557578086853, 0.0, 0.0, 0.2322102189064026], rates: 5.245334619146551, rate_t: [0, 0, 0, 0, 0, 0, 0.426252771577852, 0, 0.386919310716553, 0.33076080183208545, 0, 0, 0.24043664852811025, 1.58970741659565, 0.7579418437658574, 0.7248498360279738, 0.5562557767301962, 0, 0, 0.23221021337227196], loss: 0.5518455684185029, rho: 0.5375, rho_t: [0.25, 0.375, 0.375, 0.875, 0.25, 0.75, 0.5, 0.875, 0.625, 0.625, 0.375, 0.625, 0.875, 0.125, 0.5, 0.5, 0.5, 0.5, 0.5, 0.75], transmit_actions: 12, transmit_actions_t: [1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1], bound: 26.086743412901725, bound_t: [1.1228720669628092, 1.0520136146422154, 1.0496573830433011, 1.1354126245924756, 1.0405440148674496, 0.980925076350484, 1.0264076435197713, 0.9217758813768464, 1.0317848285774747, 0.8697024110686378, 2.3500710869394634, 2.158577492201708, 1.974158909822764, 1.7974619352318761, 1.6291026171152083, 1.4696428611109378, 1.3195662194749498, 1.1792550092521943, 1.0489708832620697, 0.9288408534890878], C: [0.0, 0.0, 0.33599917599873363, 0.5, 0.5, 0.0856064159747929, 0.29255239095011065, 0.3994693436427554, 0.5, 0.48782167129472054, 0.4929953583207889, 0.5, 0.5, 0.5, 0.2013900591768436, 0.2653872449826036, 0.11971925504804665, 0.10304093523384578, 0.27172398280531795, 0.3033417468195202], P_bound_t: [0.4989868299233771, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.75, 0.6875, 1.0, 0.4375, 0.75, 0.875, 0.125, 0.375, 0.5, 0.5625, 0.9375, 0.4375, 0.375, 0.5625, 0.25, 0.4375, 0.125, 0.4375, 0.75, 0.5]
[TRAIN]: (10/1600): reward: -1.8152862638235092, reward_t: [0.0, 0.0, -1.0, -1.0, 0.10978031903505325, 0.26335740089416504, 0.11266261339187622, 0.5603675842285156, 0.09131328016519547, 0.45070937275886536, -1.0, 0.952884316444397, 0.45197704434394836, 0.7919931411743164, 0.2453010231256485, 0.0, -1.0, -1.0, 0.15436764061450958, -1.0], rates: 4.184713756010473, rate_t: [0, 0, 0, 0, 0.10978032232915588, 0.2633573860934813, 0.11266261254043318, 0.560367598515156, 0.09131327995399803, 0.45070936306513254, 0, 0.9528843461708667, 0.45197705869958604, 0.791993118621287, 0.24530102672332177, 0, 0, 0, 0.15436764329805486, 0], loss: 0.5401886269450188, rho: 0.575, rho_t: [0.375, 0.125, 0.625, 0.75, 0.875, 0.5, 0.875, 0.375, 0.875, 0.25, 0.25, 0.625, 0.75, 0.625, 0.875, 0.625, 0.375, 0.75, 0.875, 0.125], transmit_actions: 14, transmit_actions_t: [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1], bound: 26.49153886000516, bound_t: [0.9696415667538615, 0.8691195874567686, 0.834869664897472, 0.840497569770885, 0.8926156241049857, 0.7331208596201765, 0.8448395536173998, 0.9111767984673215, 0.6823604467775531, 0.7355805239023518, 2.659241115068554, 2.4517391202736314, 2.2507151155969063, 2.0568868272081815, 1.8709721642953365, 1.6936657732111264, 1.5256123546693403, 1.3673783939387214, 1.2194245437300786, 1.0820812566445082], C: [0.0, 0.13119807208072926, 0.2567812533466409, 0.5, 0.5, 0.5, 0.5, 0.5, 0.32450458166364893, 0.38388144486747877, 0.4629731058069301, 0.5, 0.32625329030710737, 0.36266337698333223, 0.22370323040768564, 0.14265902198485464, 0.26539995450525244, 0.0, 0.10113590991885174, 0.19669245450236567], P_bound_t: [0.4923215820316368, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], P: [0.875, 0.5625, 0.3125, 0.5625, 0.4375, 0.0625, 0.875, 0.4375, 0.875, 0.125, 0.0625, 0.8125, 0.0625, 0.6875, 0.875, 0.625, 0.75, 0.1875, 0.5625, 0.8125]
