[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 75
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -57.0, rates: 0, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: -72.24543660879135, rates: 0.7545633940466778, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -46.949941262602806, rates: 1.0500587435752116, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -33.356783390045166, rates: 4.6432165037912165, loss: 10.319909544552074, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -46.093361258506775, rates: 0.9066386792570618, loss: 7.785123538970947, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -44.488521218299866, rates: 2.5114787198459614, loss: 5.149725294113159, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -34.00611385703087, rates: 1.9938861223820212, loss: 2.7121478497982023, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: -57.011959075927734, rates: 0.9880409907295628, loss: 1.728105753660202, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -23.772781670093536, rates: 3.2272182373487706, loss: 1.7226297795772552, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -45.23687335848808, rates: 1.7631267024646522, loss: 1.6773767709732055, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -58.909475326538086, rates: 0.09052462437503654, loss: 1.7161045014858245, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -63.926798701286316, rates: 1.0732012551298935, loss: 1.7870631247758866, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -40.66453868150711, rates: 0.3354612997393637, loss: 1.6314980745315553, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: -38.55391728878021, rates: 2.446082689165709, loss: 1.7873509109020234, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -38.895794451236725, rates: 1.1042054709905598, loss: 1.7352599322795867, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -44.218656450510025, rates: 1.7813435088442986, loss: 1.6586380183696747, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -63.16162699460983, rates: 0.8383729938866742, loss: 1.5503939896821977, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -48.313293397426605, rates: 0.6867066501435122, loss: 1.7663290977478028, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -45.118874073028564, rates: 1.881125954218077, loss: 1.8000490486621856, rho: 0.4000000000000001
