[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 34
[ENV]: Finished init Environment
[TRAIN]: actions: 34, observations: 210
[TRAIN]: CUDA: True
[TRAIN]: (37/1600): reward: -143.9184821844101, rates: 3.081517886198327, loss: 4.5970110356807705, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 16, P: [0.875, 0.125, 0.5, 0.4375, 0.1875, 0.25, 0.6875, 0.9375, 0.875, 0.8125, 0.3125, 0.875, 0.5, 0.8125, 0.375, 0.375, 0.0, 0.1875, 0.75, 0.625]
[TRAIN]: (38/1600): reward: -129.977976500988, rates: 3.0220231791019296, loss: 4.150697308778763, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 8, P: [1.0, 0.25, 0.375, 0.8125, 0.4375, 0.3125, 0.9375, 0.4375, 0.625, 0.375, 0.5625, 0.5625, 0.875, 0.25, 0.125, 0.3125, 0.1875, 0.4375, 0.9375, 0.625]
[TRAIN]: (39/1600): reward: -128.65117251873016, rates: 1.348827760269616, loss: 3.5497588872909547, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.3125, 0.8125, 0.125, 0.375, 0.125, 0.9375, 0.0, 0.8125, 0.4375, 0.5, 0.875, 0.25, 0.4375, 0.9375, 0.5, 0.75, 0.8125, 0.5625, 0.875, 0.875]
[TRAIN]: (40/1600): reward: -134.19682440161705, rates: 2.8031757368865393, loss: 4.774656879901886, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.4375, 0.75, 0.25, 0.1875, 0.8125, 0.0625, 0.6875, 0.1875, 0.9375, 0.625, 0.4375, 0.1875, 0.6875, 0.0625, 0.125, 0.625, 0.625, 0.3125, 0.4375, 0.8125]
[TRAIN]: (41/1600): reward: -127.64869585633278, rates: 1.3513040801210265, loss: 4.903853702545166, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 11, P: [1.0, 0.4375, 0.875, 0.75, 0.75, 0.5, 0.75, 0.375, 0.125, 0.9375, 0.5, 0.5625, 0.6875, 0.625, 0.8125, 0.75, 0.3125, 0.5625, 0.6875, 1.0]
[TRAIN]: (42/1600): reward: -144.9985213279724, rates: 1.0014788661246576, loss: 4.293274915218353, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 7, P: [0.75, 0.75, 0.4375, 0.625, 0.25, 0.4375, 0.625, 0.5, 1.0, 0.0, 0.3125, 0.5625, 0.3125, 0.5, 1.0, 0.4375, 0.9375, 0.375, 0.6875, 0.6875]
[TRAIN]: (43/1600): reward: -149.00875616073608, rates: 0.9912437676876014, loss: 4.9878252983093265, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 11, P: [0.6875, 0.5625, 0.25, 0.625, 0.625, 0.375, 0.875, 0.8125, 0.875, 0.75, 0.8125, 0.4375, 0.9375, 0.3125, 0.75, 0.8125, 0.3125, 0.1875, 0.4375, 0.5625]
[TRAIN]: (44/1600): reward: -136.62304735183716, rates: 1.3769528015482257, loss: 4.449654912948608, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.25, 0.625, 0.125, 1.0, 0.375, 0.5, 0.4375, 0.75, 0.5625, 1.0, 0.8125, 0.5, 0.25, 0.9375, 0.625, 0.875, 0.5625, 0.5625, 0.3125, 0.5625]
[TRAIN]: (45/1600): reward: -133.78150808811188, rates: 2.2184914386157746, loss: 4.774927526712418, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 7, P: [0.3125, 0.3125, 0.0625, 0.625, 0.3125, 0.4375, 0.625, 0.4375, 0.75, 0.0, 0.125, 0.4375, 0.25, 0.0, 0.9375, 0.9375, 0.75, 0.3125, 0.8125, 0.3125]
[TRAIN]: (46/1600): reward: -117.93511074781418, rates: 2.0648900032285833, loss: 4.629408848285675, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.6875, 0.0, 1.0, 0.75, 0.0, 0.25, 1.0, 0.0625, 0.4375, 0.0625, 0.75, 0.0, 0.1875, 0.5, 0.25, 0.9375, 1.0, 0.25, 0.0, 0.375]
[TRAIN]: (47/1600): reward: -107.51262722164392, rates: 4.487372904399519, loss: 4.765055692195892, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 12, P: [0.5625, 0.3125, 0.6875, 0.8125, 0.9375, 0.0625, 0.6875, 0.8125, 0.5, 0.0625, 0.375, 0.9375, 0.3125, 0.0, 0.25, 0.1875, 1.0, 0.3125, 0.8125, 0.25]
[TRAIN]: (48/1600): reward: -160.55178809165955, rates: 1.4482121981967495, loss: 3.630878913402557, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [1.0, 0.1875, 0.875, 0.75, 0.25, 0.625, 0.75, 0.6875, 0.375, 0.625, 0.875, 0.0, 0.25, 1.0, 0.1875, 0.9375, 0.0625, 0.6875, 0.1875, 0.8125]
[TRAIN]: (49/1600): reward: -138.43126916885376, rates: 1.5687305456546157, loss: 4.5325190901756285, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 8, P: [0.3125, 0.5, 0.0, 0.9375, 0.3125, 0.9375, 0.0, 0.6875, 0.5, 0.5, 1.0, 0.5625, 0.1875, 0.625, 0.75, 0.8125, 0.75, 0.9375, 0.625, 0.75]
[TRAIN]: (50/1600): reward: -119.30670309066772, rates: 1.693296831603874, loss: 4.910807627439499, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.9375, 0.375, 0.6875, 0.1875, 0.625, 0.75, 0.875, 0.3125, 0.0, 0.6875, 0.5625, 0.5625, 0.25, 0.3125, 0.5, 0.375, 1.0, 0.9375, 0.5, 0.875]
[TRAIN]: (51/1600): reward: -131.3424089550972, rates: 2.6575911356664585, loss: 4.705457627773285, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 12, P: [0.3125, 0.4375, 0.6875, 0.3125, 0.5, 0.0, 0.4375, 0.6875, 0.375, 0.8125, 0.0625, 0.4375, 0.3125, 0.8125, 0.3125, 0.6875, 0.3125, 0.125, 0.9375, 0.8125]
[TRAIN]: (52/1600): reward: -121.57991987466812, rates: 2.420080189859845, loss: 4.936178034543991, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 12, P: [0.6875, 0.25, 0.375, 0.0, 1.0, 0.125, 0.625, 0.625, 0.5, 0.6875, 0.25, 0.1875, 0.5, 0.0625, 0.875, 0.8125, 0.8125, 0.0625, 0.0, 0.6875]
[TRAIN]: (53/1600): reward: -85.90461784601212, rates: 3.0953828641718557, loss: 4.854042565822601, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 9, P: [0.4375, 0.9375, 0.25, 0.6875, 1.0, 0.75, 0.875, 0.0625, 0.8125, 0.125, 0.375, 1.0, 0.0, 0.9375, 0.4375, 0.0625, 0.125, 0.5625, 0.8125, 0.875]
[TRAIN]: (54/1600): reward: -154.72336387634277, rates: 1.2766360531354488, loss: 4.2468504190444945, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.75, 0.875, 0.875, 0.5, 0.875, 0.5, 0.375, 1.0, 0.625, 0.1875, 0.6875, 0.6875, 0.125, 0.5, 0.75, 0.4375, 0.8125, 0.5, 0.5625, 0.25]
[TRAIN]: (55/1600): reward: -135.94445395469666, rates: 2.0555463029538514, loss: 4.585475641489029, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 9, P: [0.5, 0.875, 0.9375, 0.4375, 0.5, 0.5625, 0.625, 0.125, 0.625, 0.3125, 0.0, 0.3125, 0.3125, 0.6875, 1.0, 0.4375, 0.25, 0.625, 0.375, 0.125]
[TRAIN]: (56/1600): reward: -127.22438073158264, rates: 1.7756189778926286, loss: 5.3496503829956055, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.3125, 0.625, 0.4375, 0.5625, 0.375, 0.3125, 0.375, 0.6875, 1.0, 0.6875, 0.6875, 0.1875, 1.0, 0.375, 0.6875, 1.0, 0.0, 0.75, 0.375, 1.0]
[TRAIN]: (57/1600): reward: -132.13596519827843, rates: 1.8640348727891651, loss: 4.142597258090973, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 11, P: [0.6875, 0.6875, 0.6875, 1.0, 0.4375, 0.0625, 0.875, 0.4375, 1.0, 0.3125, 0.125, 0.5, 0.125, 0.125, 0.3125, 0.875, 0.875, 0.9375, 0.0, 0.9375]
[TRAIN]: (58/1600): reward: -144.62425804138184, rates: 0.37574185697273543, loss: 5.028814804553986, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 12, P: [0.8125, 0.5, 0.9375, 0.5625, 0.5, 0.6875, 0.625, 0.0, 0.5, 0.875, 0.375, 0.875, 0.875, 0.0, 1.0, 0.8125, 0.5, 0.625, 0.8125, 0.5625]
[TRAIN]: (59/1600): reward: -164.01635813713074, rates: 0.9836416160833772, loss: 4.938402110338211, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 8, P: [0.875, 0.375, 0.1875, 0.875, 0.0, 0.4375, 0.3125, 0.0625, 0.5, 0.0, 0.0, 0.875, 0.125, 0.875, 0.125, 0.8125, 0.375, 0.75, 0.5625, 0.3125]
[TRAIN]: (60/1600): reward: -152.6400311589241, rates: 2.3599691337946043, loss: 4.766846144199372, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 11, P: [0.5625, 0.5, 0.125, 0.625, 0.1875, 0.625, 0.3125, 0.25, 0.625, 0.75, 0.3125, 0.8125, 0.9375, 0.4375, 0.4375, 0.6875, 0.8125, 0.8125, 0.875, 0.375]
[TRAIN]: (61/1600): reward: -126.67270278930664, rates: 0.32729702599949156, loss: 4.30237523317337, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 6, P: [0.125, 0.4375, 0.75, 0.5625, 1.0, 0.4375, 0.75, 0.0, 0.9375, 0.5, 0.6875, 0.4375, 0.5625, 0.125, 1.0, 0.6875, 0.5, 0.5625, 0.4375, 0.875]
[TRAIN]: (62/1600): reward: -114.33077865839005, rates: 3.669220720715941, loss: 4.952089679241181, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 10, P: [0.5625, 0.0, 0.0625, 0.9375, 0.0625, 0.3125, 0.375, 0.625, 0.0625, 0.5625, 0.5, 0.0625, 1.0, 0.9375, 0.8125, 0.0625, 0.8125, 0.625, 0.4375, 0.0625]
[TRAIN]: (63/1600): reward: -97.8374063372612, rates: 2.162594098395311, loss: 3.9908163785934447, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], [], [], [], [], [], []], transmit_actions: 9, P: [0.375, 0.875, 0.3125, 0.9375, 0.125, 0.25, 0.4375, 1.0, 0.9375, 0.5625, 0.5625, 0.875, 0.125, 0.3125, 0.9375, 0.0, 0.6875, 0.8125, 0.8125, 0.75]
